168;Franco, Divaldo Pereira;Alvorada;Sementes de vida eterna;Dissertação;1
169;Xavier, Francisco C.;CEC;Caminho espírita;Dissertação;1
170;Xavier, Francisco C.;Andre Luiz;Seara da fé;Dissertação;1
171;Xavier, Francisco C.;CEC;Paz e renovação;Dissertação;2
172;Xavier, Francisco C.;GEEM;Sinais de rumo;Dissertação;1
173;Xavier, Francisco C.;FEB;Estude a vida;Dissertação;1
174;Franco, Divaldo Pereira;FEB;Lampadária espírita;Dissertação;1
175;Schutel, Caibar;O Clarim;Cartas a esmo;Dissertação;1
176;Xavier, Francisco C.;FEB;Pão nosso;Evangélico;2
177;Xavier, Francisco C.;IDE;Dinheiro;Dissertação;1
178;Franco, Divaldo Pereira;Alvorada;Do abismo às estrelas;Romance;2
179;Maes, Hercílio; Freitas Bastos;A filosofia da alma;Mediunidade;1
180;Franco, Divaldo Pereira;Frater;Diretrizes de segurança;Mediunidade;4
181;Xavier, Francisco C.;FEB;Mecanismo da mediunidade;Mediunidade;2
182;Schubert, Sueli Calda;FEB;Obesessão e desobessão;Mediunidade;2
183;Xavier, Francisco C.;FEB;Desobsessão;Mediunidade;3
184;Peralva, Martins ;;Estudando a mediunidade;Mediunidade;1
185;D\' Esperance;Fed Esp brasileira;No pais das sombras;Mediunidade;1
186;Orphanaki, Edson;F. Editora;Mediunidade e seus problemas;Mediunidade;1
187;Pereira, Yvonne A.;FEB;Desventando o invisível;Mediunidade;2
188;Denis, Leon;Fed Esp brasileira;No invisível;Filosófico;3
189;Miranda, Herminio C.;Alvorada;Historia que os Espíritos contaram;Mediunidade;2
190;Jacinto, Roque;Edicel;Tratamento da obsessão;Mediunidade;1
191;Camargo, Pedro;Fed Esp brasileira;O mestre na educação;Evangélico;1
192;Caligaris, Rodolfo;Fed Esp brasileira;O sermão de montanha;Evangelico;1
193;Enzler, Clarice J.;Paulinas;Cristo minha vida;Evangelico;1
194;Franco, Divaldo Pereira;Alvorada;Primícias do rumo;Dissertação;2
195;Xavier, Francisco C.;FEB;Vinha de luz;Evangélico;3
196;Franco, Divaldo Pereira;Alvorada;Glossário, espírita Cristão;Meditação;2
197;Franco, Divaldo Pereira;Editora;Repositório de sabedoria;Dissertação;2
198;Soler, Amalia Domigos;IDE;Palavras do alvorecer;Infantil;1
199;Bacelar, Dolores;Borsai;Rosa imortal;Poesia e trova;2
200;Denis, Leon;Fed Esp brasileira;O porque da vida;Filosófico;1
201;Denis, Leon;Fed Esp brasileira;O além e a sobrevivência do ser;Filosófico;1
202;Xavier, Francisco C.;FEB;Nosso lar;Vida no além;2
203;Machado, Irene Pacheco;Ipiranga;Um jardim de esperança;Vida no além;2
204;Franco, Divaldo Pereira;Mansão do caminho;Leis morais;Dissertação;2
205;Xavier, Francisco C.;IDE;Mãos marcadas;Dissertação;2
